model,subset,level,n,micro_f1,precision,recall,any_hit_rate,avg_pred_labels
Contact-EC,novel_complete,4,0,,,,,
Contact-EC-Hier,all_prefix_scorable,1,466,0.8562019758507134,0.8883826879271071,0.826271186440678,0.8347639484978541,0.9420600858369099
Contact-EC-Hier,all_prefix_scorable,2,387,0.801641586867305,0.8694362017804155,0.7436548223350253,0.7545219638242894,0.8708010335917312
Contact-EC-Hier,all_prefix_scorable,3,359,0.7473841554559043,0.8278145695364238,0.6811989100817438,0.6935933147632312,0.841225626740947
Contact-EC-Hier,all_prefix_scorable,4,124,0.5689655172413793,0.8354430379746836,0.43137254901960786,0.4435483870967742,0.6370967741935484
Contact-EC-Hier,known_complete,1,124,0.8987854251012146,0.925,0.8740157480314961,0.8951612903225806,0.967741935483871
Contact-EC-Hier,known_complete,2,124,0.8582995951417004,0.8907563025210085,0.828125,0.8548387096774194,0.9596774193548387
Contact-EC-Hier,known_complete,3,124,0.875,0.9459459459459459,0.813953488372093,0.8467741935483871,0.8951612903225806
Contact-EC-Hier,known_complete,4,124,0.5689655172413793,0.8354430379746836,0.43137254901960786,0.4435483870967742,0.6370967741935484
Contact-EC-Hier,partial,1,309,0.8408710217755444,0.8776223776223776,0.8070739549839229,0.8090614886731392,0.9255663430420712
Contact-EC-Hier,partial,2,230,0.7684964200477327,0.8609625668449198,0.6939655172413793,0.6956521739130435,0.8130434782608695
Contact-EC-Hier,partial,3,202,0.6975476839237057,0.7852760736196319,0.6274509803921569,0.6287128712871287,0.806930693069307
Contact-EC-Hier,partial,4,0,,,,,
Contact-EC-Hier,novel_complete,1,33,0.835820895522388,0.8484848484848485,0.8235294117647058,0.8484848484848485,1.0
Contact-EC-Hier,novel_complete,2,33,0.8,0.8387096774193549,0.7647058823529411,0.7878787878787878,0.9393939393939394
Contact-EC-Hier,novel_complete,3,33,0.5483870967741935,0.6071428571428571,0.5,0.5151515151515151,0.8484848484848485
Contact-EC-Hier,novel_complete,4,0,,,,,
