model,mode,threshold,top_k,n,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B1_ESM2_only,threshold,0.35,,16725,0.05251408525566068,0.0015872336600254108,0.2684782608695652,0.029103334511605985,0.11001494768310911,0.0
B1_ESM2_only,threshold,0.36,,16725,0.05237054023785399,0.0015781590049254181,0.2763083849184018,0.028926593613762226,0.10624813153961137,0.0
B1_ESM2_only,threshold,0.37,,16725,0.05212458525099005,0.0015910255366268862,0.2844626168224299,0.028690939083303876,0.10236173393124066,0.0
B1_ESM2_only,threshold,0.38,,16725,0.05139484978540773,0.0015904910921735076,0.287515006002401,0.02821963002238718,0.09961136023916294,0.0
B1_ESM2_only,threshold,0.39,,16725,0.050989672977624786,0.001578467887869522,0.29295426452410384,0.027925061859314246,0.09674140508221225,0.0
B1_ESM2_only,threshold,0.4,,16725,0.05068205100555346,0.0015598273969402135,0.29879211697393515,0.027689407328855897,0.094050822122571,0.0
B1_ESM2_only,threshold,0.41,,16725,0.050121523089386985,0.0015563577412268036,0.3011031797534069,0.027335925533168375,0.09213751868460389,0.0
B1_ESM2_only,threshold,0.42,,16725,0.049485652409312395,0.0015560713849923674,0.3054812834224599,0.026923530104866266,0.08944693572496264,0.0
B1_ESM2_only,threshold,0.43,,16725,0.0487619461337967,0.0015434993883525542,0.31137309292649096,0.02645222104394957,0.08621823617339312,0.0
B1_ESM2_only,threshold,0.44,,16725,0.0481940818102698,0.0015122528354823447,0.3141843971631206,0.02609873924826205,0.08430493273542601,0.0
B1_ESM2_only,threshold,0.45,,16725,0.04772281542819787,0.0015038166189484694,0.31693198263386396,0.025804171085189113,0.08263079222720478,0.0
B1_ESM2_only,threshold,0.46,,16725,0.04769180399432501,0.001508148043164989,0.32322485207100593,0.025745257452574527,0.08083707025411062,0.0
B1_ESM2_only,threshold,0.47,,16725,0.04747060432048127,0.0015140774076481153,0.3310450038138825,0.025568516554730764,0.07838565022421524,0.0
B1_ESM2_only,threshold,0.48,,16725,0.04667214461791291,0.0015070623955711938,0.3325526932084309,0.02509720749381407,0.07659192825112107,0.0
B1_ESM2_only,threshold,0.49,,16725,0.04590127930599022,0.0015018250843019717,0.33736884584342214,0.02462589843289737,0.07408071748878924,0.0
B1_ESM2_only,threshold,0.5,,16725,0.045209547904520954,0.0014927466799852115,0.3402317880794702,0.024213503004595262,0.0722272047832586,0.0
B1_ESM2_only,threshold,0.51,,16725,0.04467486625117202,0.001475976846480061,0.3500432152117545,0.02386002120890774,0.0691778774289985,0.0
B1_ESM2_only,threshold,0.52,,16725,0.04454269135120199,0.0014764917977683255,0.35950044603033005,0.023742193943678568,0.0670254110612855,0.0
B1_ESM2_only,threshold,0.53,,16725,0.04357226010310993,0.001464763809294312,0.36901408450704226,0.023153057617532696,0.06367713004484304,0.0
B1_ESM2_only,threshold,0.54,,16725,0.04307760630620628,0.0014325946925500658,0.3730769230769231,0.02285848945445976,0.06218236173393124,0.0
B1_ESM2_only,threshold,0.55,,16725,0.04281345565749236,0.0014306357249318745,0.380811078140455,0.022681748556616,0.060448430493273544,0.0
B1_ESM2_only,threshold,0.56,,16725,0.042000891265597154,0.0014171757485256316,0.38548057259713703,0.022210439495699306,0.058475336322869956,0.0
B1_ESM2_only,threshold,0.57,,16725,0.04062726714660417,0.001404615795163135,0.3851851851851852,0.021444562271709672,0.05650224215246637,0.0
B1_ESM2_only,threshold,0.58,,16725,0.0393581931011349,0.001362889148965511,0.3855421686746988,0.02073759868033463,0.054588938714499255,0.0
B1_ESM2_only,threshold,0.59,,16725,0.03895231699126931,0.0013593677443533923,0.38926174496644295,0.020501944149876283,0.053452914798206276,0.0
B1_ESM2_only,threshold,0.6,,16725,0.03789450081282583,0.0013467834139610233,0.39075144508670523,0.01991280782373041,0.05171898355754858,0.0
B1_ESM2_only,threshold,0.61,,16725,0.03738212842388864,0.001340116131460002,0.39548693586698336,0.019618239660657476,0.050343796711509715,0.0
B1_ESM2_only,threshold,0.62,,16725,0.03578461711584989,0.0013104696778802852,0.3979974968710889,0.018734535171438672,0.0477727952167414,0.0
B1_ESM2_only,threshold,0.63,,16725,0.03496897913141568,0.0012909183167188055,0.41005291005291006,0.018263226110521974,0.045201793721973096,0.0
B1_ESM2_only,threshold,0.64,,16725,0.03367041410089825,0.0012518493284403285,0.40990371389270974,0.01755626251914693,0.04346786248131539,0.0
B1_ESM2_only,threshold,0.65,,16725,0.03348984556202975,0.001241088271538271,0.42105263157894735,0.017438435253917757,0.04203288490284006,0.0
B1_ESM2_only,threshold,0.66,,16725,0.032850022655188035,0.0012347447286327339,0.4252199413489736,0.017084953458230235,0.04077727952167414,0.0
B1_ESM2_only,threshold,0.67,,16725,0.03155684204551905,0.0011924865774725268,0.4310077519379845,0.01637798986685519,0.03856502242152467,0.0
B1_ESM2_only,threshold,0.68,,16725,0.03025993970763893,0.0011614230598583023,0.4382207578253707,0.015671026275480147,0.036292974588938716,0.0
B1_ESM2_only,threshold,0.69,,16725,0.02895906966138411,0.0011302685696957917,0.4471830985915493,0.014964062684105103,0.033961136023916295,0.0
B1_ESM2_only,threshold,0.7,,16725,0.027417604386816702,0.0009185471116800535,0.450281425891182,0.014139271827500884,0.03186846038863976,0.0
B1_ESM2_only,threshold,0.71,,16725,0.02588181401740724,0.0008802118798866788,0.46122448979591835,0.013314480970896665,0.02929745889387145,0.0
