model,threshold,n_rare_classes,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B3_contact_only,0.18,3028,0.018324945154213446,0.0004172527618420856,0.03916161059018202,0.011960916442048518,0.10840059790732437,0.0
B3_contact_only,0.19,3028,0.017659462308908802,0.00040563624283577446,0.04055690072639225,0.011287061994609165,0.09877428998505232,0.0
B3_contact_only,0.2,3028,0.01641108420769438,0.00041647764130085986,0.04072096128170895,0.010276280323450135,0.08956651718983558,0.0
B3_contact_only,0.21,3028,0.015907844212835986,0.0004165554114245683,0.04277286135693215,0.00977088948787062,0.0810762331838565,0.0
B3_contact_only,0.22,3028,0.014531228168226912,0.0003997687927398705,0.042588042588042586,0.00876010781671159,0.07300448430493274,0.0
B3_contact_only,0.23,3028,0.013613159387407828,0.0003836960805659455,0.043010752688172046,0.008086253369272238,0.06672645739910314,0.0
B3_contact_only,0.24,3028,0.012663692617642826,0.00036315643367219955,0.04343534057255676,0.007412398921832884,0.06056801195814649,0.0
B3_contact_only,0.25,3028,0.011970802919708028,0.0003549809940953524,0.044857768052516414,0.006907008086253369,0.054648729446935725,0.0
B3_contact_only,0.26,3028,0.011528229382205143,0.0003484400763435973,0.046987951807228916,0.006570080862533693,0.049626307922272045,0.0
B3_contact_only,0.27,3028,0.011316259678379986,0.00034510652996982906,0.04871794871794872,0.006401617250673854,0.04663677130044843,0.0
B3_contact_only,0.28,3028,0.01081893313298272,0.0003479236175924369,0.05006954102920723,0.006064690026954178,0.042989536621823615,0.0
B3_contact_only,0.29,3028,0.010912397696271597,0.0003479236175924369,0.054380664652567974,0.006064690026954178,0.03958146487294469,0.0
B3_contact_only,0.3,3028,0.010397553516819572,0.0003410552306648435,0.056291390728476824,0.0057277628032345014,0.0361136023916293,0.0
B3_contact_only,0.31,3028,0.010160098522167486,0.00033755859731988687,0.05892857142857143,0.005559299191374663,0.03348281016442452,0.0
B3_contact_only,0.32,3028,0.009600495509445648,0.0003321997574175256,0.05938697318007663,0.0052223719676549865,0.031210762331838567,0.0
B3_contact_only,0.33,3028,0.00933852140077821,0.00032861705551275375,0.06134969325153374,0.005053908355795148,0.029237668161434978,0.0
B3_contact_only,0.34,3028,0.00937207122774133,0.00032861705551275375,0.06437768240343347,0.005053908355795148,0.027862481315396113,0.0
B3_contact_only,0.35,3028,0.009404388714733541,0.00032861705551275375,0.06756756756756757,0.005053908355795148,0.026547085201793722,0.0
B3_contact_only,0.36,3028,0.008817509053692331,0.0003213181348620383,0.06746987951807229,0.0047169811320754715,0.024813153961136022,0.0
B3_contact_only,0.37,3028,0.008849557522123894,0.0003213181348620383,0.07142857142857142,0.0047169811320754715,0.02343796711509716,0.0
B3_contact_only,0.38,3028,0.008236971329003641,0.0003138355935660219,0.06896551724137931,0.004380053908355795,0.022541106128550075,0.0
B3_contact_only,0.39,3028,0.007952918721170668,0.00031002328613355786,0.07122507122507123,0.0042115902964959566,0.020986547085201795,0.0
B3_contact_only,0.4,3028,0.007965588657001752,0.00031002328613355786,0.07331378299120235,0.0042115902964959566,0.02038863976083707,0.0
B3_contact_only,0.41,3028,0.007667731629392972,0.00030616241427520254,0.07407407407407407,0.004043126684636119,0.01937219730941704,0.0
B3_contact_only,0.42,3028,0.007693540631511461,0.00030616241427520254,0.07920792079207921,0.004043126684636119,0.01811659192825112,0.0
B3_contact_only,0.43,3028,0.0077170418006430866,0.00030616241427520254,0.08450704225352113,0.004043126684636119,0.016980568011958148,0.0
B3_contact_only,0.44,3028,0.00678185047634426,0.00029427895154234267,0.08171206225680934,0.003537735849056604,0.015366218236173393,0.0
B3_contact_only,0.45,3028,0.006797216378054702,0.00029427895154234267,0.08641975308641975,0.003537735849056604,0.014529147982062781,0.0
B3_contact_only,0.46,3028,0.00649456080532554,0.0002902142377099701,0.08968609865470852,0.0033692722371967657,0.013333333333333334,0.0
B3_contact_only,0.47,3028,0.006186909801367633,0.0002860960408008558,0.09223300970873786,0.003200808625336927,0.012316890881913303,0.0
B3_contact_only,0.48,3028,0.005872756933115824,0.0002819232982373162,0.09278350515463918,0.003032345013477089,0.011599402092675635,0.0
B3_contact_only,0.49,3028,0.005887162714636141,0.0002819232982373162,0.1005586592178771,0.003032345013477089,0.01070254110612855,0.0
B3_contact_only,0.5,3028,0.00556920556920557,0.00027769491910626266,0.10059171597633136,0.0028638814016172507,0.010104633781763827,0.0
B3_contact_only,0.51,3028,0.005255378551486287,0.0002734097832083494,0.10457516339869281,0.0026954177897574125,0.00914798206278027,0.0
B3_contact_only,0.52,3028,0.005263157894736843,0.00028193238942132937,0.1111111111111111,0.0026954177897574125,0.008609865470852018,0.0
B3_contact_only,0.53,3028,0.004943153732081067,0.0002775893462815524,0.11278195488721804,0.002526954177897574,0.007952167414050823,0.0
B3_contact_only,0.54,3028,0.0049521294156487285,0.0002775893462815524,0.12295081967213115,0.002526954177897574,0.007294469357249626,0.0
B3_contact_only,0.55,3028,0.004630395237307756,0.0002731872141194655,0.12612612612612611,0.0023584905660377358,0.0066367713004484305,0.0
B3_contact_only,0.56,3028,0.004635761589403974,0.0002731872141194655,0.1346153846153846,0.0023584905660377358,0.006218236173393124,0.0
B3_contact_only,0.57,3028,0.004644219605241333,0.0002731872141194655,0.15053763440860216,0.0023584905660377358,0.005560538116591928,0.0
B3_contact_only,0.58,3028,0.004648846089988378,0.0002731872141194655,0.16091954022988506,0.0023584905660377358,0.005201793721973094,0.0
B3_contact_only,0.59,3028,0.004324683965402529,0.0002687247787770761,0.17105263157894737,0.0021900269541778976,0.004544095665171898,0.0
B3_contact_only,0.6,3028,0.003998667110963012,0.0002642007926023778,0.18181818181818182,0.0020215633423180594,0.003946188340807175,0.0
B3_contact_only,0.61,3028,0.0040013337779259755,0.0002642007926023778,0.1935483870967742,0.0020215633423180594,0.0037070254110612853,0.0
B3_contact_only,0.62,3028,0.004003336113427856,0.0002642007926023778,0.2033898305084746,0.0020215633423180594,0.0035276532137518686,0.0
B3_contact_only,0.63,3028,0.004008016032064128,0.0002642007926023778,0.23076923076923078,0.0020215633423180594,0.003109118086696562,0.0
B3_contact_only,0.64,3028,0.004009355162044771,0.0002642007926023778,0.24,0.0020215633423180594,0.0029895366218236174,0.0
B3_contact_only,0.65,3028,0.004011365535684439,0.0002642007926023778,0.2553191489361702,0.0020215633423180594,0.0028101644245142002,0.0
B3_contact_only,0.66,3028,0.004014720642355303,0.0002642007926023778,0.2857142857142857,0.0020215633423180594,0.0025112107623318385,0.0
B3_contact_only,0.67,3028,0.0040167364016736404,0.0002642007926023778,0.3076923076923077,0.0020215633423180594,0.0023318385650224214,0.0
B3_contact_only,0.68,3028,0.004018081366147664,0.0002642007926023778,0.32432432432432434,0.0020215633423180594,0.002212257100149477,0.0
B3_contact_only,0.69,3028,0.00368447496231787,0.00025053523436432376,0.3142857142857143,0.001853099730458221,0.0020926756352765323,0.0
B3_contact_only,0.7,3028,0.003688181056160939,0.00025053523436432376,0.3793103448275862,0.001853099730458221,0.001733931240657698,0.0
B3_contact_only,0.71,3028,0.003355141754739138,0.00023589356482355163,0.4,0.0016846361185983828,0.0014947683109118087,0.0
B3_contact_only,0.72,3028,0.0033568311513930854,0.00023589356482355163,0.45454545454545453,0.0016846361185983828,0.0013153961136023915,0.0
B3_contact_only,0.73,3028,0.0033568311513930854,0.00023589356482355163,0.45454545454545453,0.0016846361185983828,0.0013153961136023915,0.0
B3_contact_only,0.74,3028,0.0030221625251846875,0.00022016732716864817,0.45,0.0015161725067385444,0.001195814648729447,0.0
B3_contact_only,0.75,3028,0.0030231776956667787,0.00022016732716864817,0.5,0.0015161725067385444,0.0010762331838565023,0.0
B3_contact_only,0.76,3028,0.002689075630252101,0.00020323137892490603,0.5714285714285714,0.0013477088948787063,0.0008370702541106128,0.0
B3_contact_only,0.77,3028,0.002353336695242898,0.00018494055482166447,0.5384615384615384,0.0011792452830188679,0.0007772795216741405,0.0
B3_contact_only,0.78,3028,0.0020178241129981504,0.00016512549537648613,0.5454545454545454,0.0010107816711590297,0.0006576980568011958,0.0
B3_contact_only,0.79,3028,0.0016823687752355316,0.00014358738728390097,0.625,0.0008423180592991914,0.0004783258594917788,0.0
B3_contact_only,0.8,3028,0.0016823687752355316,0.00014358738728390097,0.625,0.0008423180592991914,0.0004783258594917788,0.0
B3_contact_only,0.81,3028,0.00101010101010101,9.435742592942064e-05,0.75,0.0005053908355795149,0.0002391629297458894,0.0
B3_contact_only,0.82,3028,0.00101010101010101,9.435742592942064e-05,0.75,0.0005053908355795149,0.0002391629297458894,0.0
B3_contact_only,0.83,3028,0.00101010101010101,9.435742592942064e-05,0.75,0.0005053908355795149,0.0002391629297458894,0.0
B3_contact_only,0.84,3028,0.00101010101010101,9.435742592942064e-05,0.75,0.0005053908355795149,0.0002391629297458894,0.0
B3_contact_only,0.85,3028,0.0010102710894089916,9.435742592942064e-05,1.0,0.0005053908355795149,0.00017937219730941703,0.0
B3_contact_only,0.86,3028,0.0010102710894089916,9.435742592942064e-05,1.0,0.0005053908355795149,0.00017937219730941703,0.0
B3_contact_only,0.87,3028,0.0010102710894089916,9.435742592942064e-05,1.0,0.0005053908355795149,0.00017937219730941703,0.0
B3_contact_only,0.88,3028,0.000336870473303015,3.476326218452339e-05,1.0,0.00016846361185983828,5.979073243647235e-05,0.0
B3_contact_only,0.89,3028,0.000336870473303015,3.476326218452339e-05,1.0,0.00016846361185983828,5.979073243647235e-05,0.0
B3_contact_only,0.9,3028,0.000336870473303015,3.476326218452339e-05,1.0,0.00016846361185983828,5.979073243647235e-05,0.0
Fusion_ESM2_contact,0.01,3028,0.12298183652875883,0.004025085280723873,0.09828629032258064,0.16425202156334232,0.5931240657698057,0.0
Fusion_ESM2_contact,0.02,3028,0.13829875864367241,0.0031917880192423704,0.13680567001813088,0.13982479784366578,0.36275037369207774,0.0
Fusion_ESM2_contact,0.03,3028,0.14036776740155962,0.0029967357654782706,0.16378341945630195,0.1228099730458221,0.2661285500747384,0.0
Fusion_ESM2_contact,0.04,3028,0.1433245382585752,0.002880936619640093,0.19186210794009606,0.11438679245283019,0.21159940209267564,0.0
Fusion_ESM2_contact,0.05,3028,0.14416243654822336,0.0028923000603041167,0.21816319562990782,0.10764824797843665,0.1751270553064275,0.0
Fusion_ESM2_contact,0.06,3028,0.14239866872697016,0.002797974008105531,0.24182478805006055,0.10090970350404313,0.148101644245142,0.0
Fusion_ESM2_contact,0.07,3028,0.14153160955090932,0.0025895317534373697,0.26641825803446667,0.0963611859838275,0.12837070254110614,0.0
Fusion_ESM2_contact,0.08,3028,0.1375701888718734,0.002460637699921216,0.2836842105263158,0.09080188679245282,0.11360239162929746,0.0
Fusion_ESM2_contact,0.09,3028,0.13495170973636128,0.002437508347770316,0.29953650057937425,0.08709568733153639,0.10319880418535127,0.0
Fusion_ESM2_contact,0.1,3028,0.13294258691887573,0.0023585670828605103,0.3176320814767664,0.0840633423180593,0.09393124065769806,0.0
Fusion_ESM2_contact,0.11,3028,0.12299319727891156,0.00226158726670604,0.31966053748231965,0.0761455525606469,0.0845440956651719,0.0
Fusion_ESM2_contact,0.12,3028,0.11737089201877936,0.002247491639051765,0.32542113323124044,0.07159703504043127,0.07808669656203289,0.0
Fusion_ESM2_contact,0.13,3028,0.11389394151392192,0.002152789457472473,0.3360858794384806,0.06856469002695417,0.07240657698056802,0.0
Fusion_ESM2_contact,0.14,3028,0.10839260312944524,0.002019054227364106,0.3482632541133455,0.06418463611859838,0.06541106128550074,0.0
Fusion_ESM2_contact,0.15,3028,0.10573065902578797,0.0017901222120089574,0.35344827586206895,0.062163072776280325,0.06242152466367713,0.0
Fusion_ESM2_contact,0.16,3028,0.1038472664159676,0.0017812181660912445,0.3670756646216769,0.06047843665768194,0.058475336322869956,0.0
Fusion_ESM2_contact,0.17,3028,0.10170479382194375,0.0017099720953415304,0.37648327939590076,0.058793800539083556,0.055426008968609865,0.0
Fusion_ESM2_contact,0.18,3028,0.09982384028185555,0.0016904930807072264,0.3881278538812785,0.05727762803234501,0.052376681614349774,0.0
Fusion_ESM2_contact,0.19,3028,0.0983751846381093,0.0015704084603085193,0.39928057553956836,0.056098382749326145,0.04986547085201794,0.0
Fusion_ESM2_contact,0.2,3028,0.09679334916864607,0.0015827802177659325,0.4075,0.05491913746630728,0.04783258594917788,0.0
Fusion_ESM2_contact,0.21,3028,0.09545115585384042,0.0015766827999146513,0.41612483745123535,0.05390835579514825,0.04597907324364724,0.0
Fusion_ESM2_contact,0.22,3028,0.09329533523323834,0.0015571643505073404,0.42544459644322846,0.0523921832884097,0.043707025411061286,0.0
Fusion_ESM2_contact,0.23,3028,0.09311435889709206,0.0015614644500792166,0.44079885877318115,0.052055256064690025,0.04191330343796711,0.0
Fusion_ESM2_contact,0.24,3028,0.09199576335300348,0.0013502235381566863,0.45170876671619614,0.05121293800539083,0.040239162929745886,0.0
Fusion_ESM2_contact,0.25,3028,0.09079866383237169,0.0013623219332881944,0.46,0.05037061994609164,0.03886397608370702,0.0
Fusion_ESM2_contact,0.26,3028,0.08955223880597016,0.0013551545747274708,0.4666666666666667,0.049528301886792456,0.03766816143497758,0.0
Fusion_ESM2_contact,0.27,3028,0.08896361968816877,0.00135293141831163,0.4801980198019802,0.04902291105121294,0.03623318385650224,0.0
Fusion_ESM2_contact,0.28,3028,0.08773006134969326,0.0013420143675488435,0.4897260273972603,0.04818059299191375,0.03491778774289985,0.0
Fusion_ESM2_contact,0.29,3028,0.08727719729563616,0.0013368141099486478,0.4965034965034965,0.04784366576819407,0.03420029895366218,0.0
Fusion_ESM2_contact,0.3,3028,0.0844636251541307,0.001327215229767916,0.4963768115942029,0.04615902964959569,0.03300448430493273,0.0
Fusion_ESM2_contact,0.31,3028,0.08221295008499457,0.0013350748646091316,0.497196261682243,0.04481132075471698,0.03198804185351271,0.0
Fusion_ESM2_contact,0.32,3028,0.07935523868567887,0.0013232930791644882,0.49612403100775193,0.0431266846361186,0.03085201793721973,0.0
Fusion_ESM2_contact,0.33,3028,0.07712641890841238,0.0013455536559641853,0.501010101010101,0.04177897574123989,0.029596412556053813,0.0
Fusion_ESM2_contact,0.34,3028,0.07571272783922729,0.0013411142297139649,0.5031055900621118,0.0409366576819407,0.028878923766816143,0.0
Fusion_ESM2_contact,0.35,3028,0.07524196066187948,0.0013394682202847545,0.5127659574468085,0.040599730458221024,0.028101644245142002,0.0
Fusion_ESM2_contact,0.36,3028,0.07170815719430092,0.0013235244756259518,0.5077605321507761,0.038578167115902964,0.026965620328849027,0.0
Fusion_ESM2_contact,0.37,3028,0.07036280822993561,0.0014843871567955555,0.5197215777262181,0.03773584905660377,0.025769805680119582,0.0
Fusion_ESM2_contact,0.38,3028,0.06894380607586967,0.001475991793494257,0.5251798561151079,0.03689353099730458,0.02493273542600897,0.0
Fusion_ESM2_contact,0.39,3028,0.06727732154137712,0.0014665867668080344,0.5378787878787878,0.035882749326145554,0.02367713004484305,0.0
Fusion_ESM2_contact,0.4,3028,0.06676158835627274,0.0014605811646461037,0.548051948051948,0.03554582210242588,0.023019431988041853,0.0
Fusion_ESM2_contact,0.41,3028,0.0656309448319594,0.0014527003903032187,0.5564516129032258,0.03487196765498652,0.022242152466367713,0.0
Fusion_ESM2_contact,0.42,3028,0.0642085187539733,0.001438989428726842,0.5674157303370787,0.034029649595687335,0.021285500747384157,0.0
